originalFileName,globalIndex,label
2014-07-02_1404311754.jpg,0,99
2014-07-02_1404311754.jpg,1,2
2015-04-26_1430069517.jpg,2,2
Collages.jpg,3,2
Collages.jpg,4,0
IMG_20140625_094721.jpg,5,0
IMG_20140625_094721.jpg,6,1
IMG_20160508_235711.jpg,7,1
IMG_20160508_235711.jpg,8,2
IMG_2684.JPG,9,2
IMG_2684.JPG,10,0
07092011105.jpg,10,99
2014-07-02_1404311754.jpg,11,2
2014-07-02_1404311754.jpg,12,2
2015-04-26_1430069517.jpg,13,1
2015-04-26_1430069517.jpg,14,1
Collages.jpg,15,0
Collages.jpg,16,0
IMG_20140625_094721.jpg,17,2
IMG_20140625_094721.jpg,18,2
IMG_20160508_235711.jpg,19,2
IMG_2684.JPG,20,2
07092011105.jpg,21,2
2014-07-02_1404311754.jpg,22,2
07092011105.jpg,22,99
2014-07-02_1404311754.jpg,23,99
2015-04-26_1430069517.jpg,24,99
Collages.jpg,25,99
IMG_20140625_094721.jpg,26,99
IMG_20160508_235711.jpg,27,99
IMG_2684.JPG,28,99
07092011105.jpg,22,2
07092011105.jpg,23,2
2014-07-02_1404311754.jpg,24,1
2014-07-02_1404311754.jpg,25,1
07092011105.jpg,26,1
07092011105.jpg,27,1
2014-07-02_1404311754.jpg,28,1
2015-04-26_1430069517.jpg,29,1
Collages.jpg,30,1
IMG_20140625_094721.jpg,31,1
